id,case,label_file,img_path,lens_color,transparency,metalness,roll,pitch,yaw,gesture
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_0.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_0.cam_rearview.f_1.rgb.png,black,0.06819625909767153,1,-18.666569484412,22.616575073397403,-28.33384772635663,vehicle_counting_in_1
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_1.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_1.cam_rearview.f_1.rgb.png,black,0.009938646902592082,1,-15.725626655573933,38.06310897387935,-22.350857869686173,vehicle_wave_hello
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_10.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_10.cam_rearview.f_1.rgb.png,black,0.07128809685067349,0,-27.937462735444235,29.255204213399676,-22.769428744075576,vehicle_counting_out_3
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_11.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_11.cam_rearview.f_1.rgb.png,default,0.7925241867382924,0,-18.364758774367523,35.39958186246434,-37.564134112475884,vehicle_drink_from_glass
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_12.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_12.cam_rearview.f_1.rgb.png,black,0.09953942419839132,1,-20.415922273356152,35.23455473797647,-24.143185775107924,vehicle_look_over_shoulder
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_13.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_13.cam_rearview.f_1.rgb.png,default,0.9576559988786697,0,-16.654922656138133,22.794695359268825,-23.624905411623743,vehicle_at_ear_right_phone_1
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_14.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_14.cam_rearview.f_1.rgb.png,black,0.022208220278207805,0,-19.823082868800036,39.79308702705606,-24.64802188634753,vehicle_listing_in_index_3
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_15.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_15.cam_rearview.f_1.rgb.png,black,9.004564254443389e-05,1,-27.11560312576616,38.74767232602092,-27.887907634334525,vehicle_radio_reach
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_16.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_16.cam_rearview.f_1.rgb.png,default,0.9714492661522671,0,-28.354419114431394,22.497008946940916,-31.997970970380905,vehicle_counting_in_5
id_00,case01,Z:\SAI\data\IR\labeldata\id_00\id_00_case01_17.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_00\id_00_case01_17.cam_rearview.f_1.rgb.png,default,1.0,0,-25.67321227812042,21.144279351159994,-24.44263388549494,vehicle_shrug_hands_out
