label_id,label_name,img_name,xmin,ymin,xmax,ymax
id_01,live,real_1_1_101_jpg.rf.2bb8213ecbe26a8f44704138c7c8c962.jpg,203,121,429,441
id_01,live,real_1_1_104_jpg.rf.a585386d624715711125fd5450ea5b3f.jpg,201,115,428,438
id_01,live,real_1_1_107_jpg.rf.956e644084afed89e8d81bde1548db4e.jpg,194,116,423,441
id_01,live,real_1_1_110_jpg.rf.8350f22dca0719fb45fa3c71fc990b68.jpg,175,119,399,436
id_01,live,real_1_1_110_jpg.rf.cfe0941849804040f6039e9659cbb091.jpg,194,119,418,436
id_01,live,real_1_1_110_jpg.rf.e0b9cb8c31f64bc5fe5450447869d542.jpg,152,111,376,428
id_01,live,real_1_1_113_jpg.rf.04b07e9d0d09f9cff2f18592bea59781.jpg,183,99,410,420
id_01,live,real_1_1_113_jpg.rf.544e2cf2221c25fe9c2d78d937606b58.jpg,192,113,419,434
id_01,live,real_1_1_113_jpg.rf.8434cbcf499bdbae858e8d20e066ffc3.jpg,186,107,413,428
id_01,live,real_1_1_116_jpg.rf.70105451317687bc7a3b54df150212a0.jpg,201,118,422,431
id_01,live,real_1_1_119_jpg.rf.3bb6a90074992b3247fbecbab645ada9.jpg,192,77,419,398
id_01,live,real_1_1_119_jpg.rf.4165361f03d1970823e4812588e0ebf7.jpg,187,104,414,425
id_01,live,real_1_1_119_jpg.rf.e548a869cddf597921fce8f92042aec3.jpg,202,106,429,427
id_01,live,real_1_1_11_jpg.rf.4bcba3434b56f7b1a7edbe12f3a77262.jpg,173,91,409,425
id_01,live,real_1_1_11_jpg.rf.62dc719fa26ad4d911e6031e9be3bf56.jpg,173,91,409,425
id_01,live,real_1_1_11_jpg.rf.9ebd84cc533b3a9c706ef2737d10e331.jpg,153,87,389,421
id_01,live,real_1_1_122_jpg.rf.03b48b325388dfd89898642f8f81248d.jpg,213,110,433,422
id_01,live,real_1_1_122_jpg.rf.0b88bc4c5b2361d9a9bc7baf47e64af1.jpg,218,111,438,423
id_01,live,real_1_1_122_jpg.rf.a748f3495c7d12b6948a4e359a0b10f9.jpg,202,54,422,366
id_01,live,real_1_1_125_jpg.rf.1696c84758a4830730ce149c771dc76a.jpg,232,105,456,424
id_01,live,real_1_1_125_jpg.rf.5d8023dc94342abca4c0fe9128dd126f.jpg,226,62,450,381
id_01,live,real_1_1_125_jpg.rf.978e4c287a50d43d50dedba113b122bd.jpg,224,101,448,420
id_01,live,real_1_1_128_jpg.rf.3c3aa970438fb0d1995ce2f2ffc425f1.jpg,243,110,462,421
id_01,live,real_1_1_128_jpg.rf.9402fc2328cc6edfe847267009163d08.jpg,226,98,445,409
id_01,live,real_1_1_128_jpg.rf.fda559b6339a3abc133c63ebbaecf5a1.jpg,243,110,462,421
id_01,live,real_1_1_131_jpg.rf.208f25494b28f3bbc5193a62ccc7bcd8.jpg,238,102,451,404
id_01,live,real_1_1_131_jpg.rf.abf93e8d033e18fe32b74d0f2b694b53.jpg,256,121,469,423
id_01,live,real_1_1_131_jpg.rf.eb48bca1a4c12feee518de846153e051.jpg,255,119,468,421
id_01,live,real_1_1_134_jpg.rf.1d55ac02835155320b00fcab7679e957.jpg,260,124,473,426
id_01,live,real_1_1_134_jpg.rf.92d81f4b833ef06cb2370c4e9e73176a.jpg,250,113,463,415
id_01,live,real_1_1_134_jpg.rf.fa46dbeacea801644ff32bca591b7fa2.jpg,219,117,432,419
id_01,live,real_1_1_137_jpg.rf.6442853a5a522a48d6b142480ea7e59d.jpg,265,135,473,430
