id,case,label_file,img_path,lens_color,transparency,metalness,roll,pitch,yaw,gesture
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_0.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_0.cam_rearview.f_1.rgb.png,default,1.0,0,-22.9582206682825,25.136010596349145,-27.107790628543505,vehicle_default
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_1.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_1.cam_rearview.f_1.rgb.png,default,0.964801969298005,1,-25.01175048739891,22.897711143579624,-37.38045740173979,vehicle_hand_talking_1
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_10.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_10.cam_rearview.f_1.rgb.png,default,1.0,0,-15.154609843234423,29.54881513044984,-25.614126331657523,vehicle_shake_head_no
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_11.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_11.cam_rearview.f_1.rgb.png,default,1.0,0,-28.824058991838875,32.833763485237625,-33.09244999966827,vehicle_asleep_left_03
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_12.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_12.cam_rearview.f_1.rgb.png,default,0.9693817860668343,0,-17.0822283073598,20.579855081067265,-21.972625766203798,vehicle_asleep_forward_02
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_13.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_13.cam_rearview.f_1.rgb.png,default,1.0,0,-27.436084907387873,37.16383636902424,-30.194955746471134,vehicle_shake_head_no
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_14.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_14.cam_rearview.f_1.rgb.png,default,1.0,0,-29.963679117025155,31.155860466108503,-38.21009581004038,vehicle_shake_head_no
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_15.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_15.cam_rearview.f_1.rgb.png,default,1.0,0,-28.551224857936695,32.34913401935984,-35.76097012482214,vehicle_hand_talking_1
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_16.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_16.cam_rearview.f_1.rgb.png,default,1.0,0,-29.599828796206772,26.84684225390111,-35.2131765625943,vehicle_counting_in_4
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_17.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_17.cam_rearview.f_1.rgb.png,default,1.0,0,-18.86063831578174,32.647093269941585,-22.33516622316866,vehicle_counting_in_3
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_18.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_18.cam_rearview.f_1.rgb.png,default,0.7820700050245417,0,-16.860270796759053,26.589366821665894,-35.54879219033896,vehicle_wave_hello
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_19.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_19.cam_rearview.f_1.rgb.png,default,1.0,0,-29.681918213082824,26.14946995847569,-38.9054786453639,vehicle_drink_from_glass
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_2.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_2.cam_rearview.f_1.rgb.png,default,0.09218921312982901,1,-25.914381535774673,33.93585006277644,-26.936225664431163,vehicle_default
id_28,case01,Z:\SAI\data\IR\labeldata\id_28\id_28_case01_20.cam_rearview.f_1.info.json,Z:\SAI\data\IR\rawdata\id_28\id_28_case01_20.cam_rearview.f_1.rgb.png,default,1.0,0,-23.623410871300663,32.71042212137199,-33.01117101823968,vehicle_radio_reach
