label,Facelandmark_pts,eye_side,eyelid,dpi
001_01_01_041_14.pts,68,left,58.69640548193736,120
001_01_01_041_14.pts,68,right,53.790213715982894,120
001_01_01_190_03.pts,68,left,53.01829395412076,120
001_01_01_190_03.pts,68,right,47.58914374915538,120
001_01_02_080_02.pts,68,left,52.64148331454538,120
001_01_02_080_02.pts,68,right,46.95877290773258,120
001_01_02_090_09.pts,68,left,36.37568939171079,120
001_01_02_090_09.pts,68,right,29.356138446669043,120
001_01_02_140_16.pts,68,left,70.22536256502272,120
001_01_02_140_16.pts,68,right,60.004218083213,120
001_01_02_200_11.pts,68,left,38.25539373009308,120
001_01_02_200_11.pts,68,right,35.337303054122465,120
001_02_01_050_07.pts,68,left,74.09740358567832,120
001_02_01_050_07.pts,68,right,71.96709823747395,120
001_02_01_050_18.pts,68,left,75.97007267850793,120
001_02_01_050_18.pts,68,right,69.39491423768433,120
001_02_01_200_10.pts,68,left,38.68536466338253,120
001_02_01_200_10.pts,68,right,32.017243932415134,120
001_02_02_051_19.pts,68,left,76.92826056968775,120
001_02_02_051_19.pts,68,right,64.0024776781684,120
001_02_02_080_06.pts,68,left,52.23537957941489,120
001_02_02_080_06.pts,68,right,49.983863219654324,120
001_02_02_200_11.pts,68,left,38.226063078379156,120
001_02_02_200_11.pts,68,right,36.64352327682055,120
001_02_03_050_16.pts,68,left,75.3205724682469,120
001_02_03_050_16.pts,68,right,63.115547106081586,120
001_02_03_051_04.pts,68,left,70.20319054339495,120
001_02_03_051_04.pts,68,right,63.34250762893923,120
001_02_03_190_05.pts,68,left,51.038537451017206,120
001_02_03_190_05.pts,68,right,50.19325475322567,120
001_03_01_041_00.pts,68,left,58.097855750497075,120
001_03_01_041_00.pts,68,right,52.35543088803894,120
001_03_01_130_08.pts,68,left,60.122091338283376,120
001_03_01_130_08.pts,68,right,55.242222784197324,120
001_03_01_200_00.pts,68,left,38.45089899974884,120
001_03_01_200_00.pts,68,right,36.901729566512245,120
001_03_02_041_14.pts,68,left,59.05765924477721,120
001_03_02_041_14.pts,68,right,53.07936968378369,120
001_03_02_051_05.pts,68,left,73.0492549161561,120
001_03_02_051_05.pts,68,right,69.12884833812551,120
001_03_02_090_11.pts,68,left,35.5886405199125,120
001_03_02_090_11.pts,68,right,29.075220580514216,120
001_03_02_200_01.pts,68,left,38.06248653712595,120
001_03_02_200_01.pts,68,right,36.79148549332519,120
001_03_03_041_14.pts,68,left,56.57874999036493,120
001_03_03_041_14.pts,68,right,46.24655923807853,120
001_03_03_080_03.pts,68,left,52.472912999894035,120
001_03_03_080_03.pts,68,right,42.74844897836124,120
001_03_03_090_08.pts,68,left,37.805858699413285,120
001_03_03_090_08.pts,68,right,32.20971063247506,120
001_03_03_190_12.pts,68,left,48.74935683279443,120
001_03_03_190_12.pts,68,right,44.97383992111413,120
002_01_01_051_09.pts,68,left,70.54253022034929,120
002_01_01_051_09.pts,68,right,67.81133700303283,120
002_01_01_090_11.pts,68,left,34.48361418686982,120
002_01_01_090_11.pts,68,right,29.643999882400777,120
002_01_01_140_10.pts,68,left,69.16984715137397,120
