label,Facelandmark_pts,eye_side,eyelid,dpi
indoor_001.pts,68,left,92.47239883848816,
indoor_001.pts,68,right,77.99467359733966,
indoor_002.pts,68,left,144.37914291131375,
indoor_002.pts,68,right,119.70856450958071,
indoor_003.pts,68,left,232.22706973539692,
indoor_003.pts,68,right,215.4898187253352,
indoor_004.pts,68,left,107.65752988321604,
indoor_004.pts,68,right,86.50562775848104,
indoor_005.pts,68,left,141.4282264264771,
indoor_005.pts,68,right,108.99174350699438,
indoor_006.pts,68,left,269.52219651841494,
indoor_006.pts,68,right,226.5877003098236,
indoor_007.pts,68,left,113.55485067737584,
indoor_007.pts,68,right,108.32211776110177,
indoor_008.pts,68,left,155.12554909312786,
indoor_008.pts,68,right,143.3539903550726,
indoor_009.pts,68,left,77.50559884453506,
indoor_009.pts,68,right,75.99949667614769,
indoor_010.pts,68,left,299.0178556216261,
indoor_010.pts,68,right,278.0821010663437,
indoor_011.pts,68,left,96.21164958410405,
indoor_011.pts,68,right,80.29159489029834,
indoor_012.pts,68,left,142.47250671318616,
indoor_012.pts,68,right,124.04077449012931,
indoor_013.pts,68,left,226.45584683216313,
indoor_013.pts,68,right,202.36527929739114,
indoor_014.pts,68,left,178.21445555347708,
indoor_014.pts,68,right,158.59474710545888,
indoor_015.pts,68,left,123.34366850446314,
indoor_015.pts,68,right,104.88676069086233,
indoor_016.pts,68,left,160.05532770168708,
indoor_016.pts,68,right,137.24197176115217,
indoor_017.pts,68,left,117.06816465122165,
indoor_017.pts,68,right,101.78487957998041,
indoor_018.pts,68,left,102.65521142640542,
indoor_018.pts,68,right,91.98856057941234,
indoor_019.pts,68,left,133.806721224849,
indoor_019.pts,68,right,121.98587695508033,
indoor_020.pts,68,left,241.19582865594464,
indoor_020.pts,68,right,220.69798441340365,
indoor_021.pts,68,left,161.12542954007057,
indoor_021.pts,68,right,137.83677183830724,
indoor_022.pts,68,left,128.67733030508705,
indoor_022.pts,68,right,126.57770868313361,
indoor_023.pts,68,left,116.06457275310629,
indoor_023.pts,68,right,107.19106423293353,
indoor_024.pts,68,left,167.02744606284853,
indoor_024.pts,68,right,150.6286475929942,
indoor_025.pts,68,left,225.36737086914835,
indoor_025.pts,68,right,182.69612277251844,
indoor_026.pts,68,left,117.06040014560872,
indoor_026.pts,68,right,93.25391501581983,
indoor_027.pts,68,left,126.87193729209754,
indoor_027.pts,68,right,113.02410874627103,
indoor_028.pts,68,left,148.53657034417859,
indoor_028.pts,68,right,123.40624331732356,
indoor_029.pts,68,left,202.36725329802962,
indoor_029.pts,68,right,167.98761689291598,
indoor_030.pts,68,left,185.52256421794087,
indoor_030.pts,68,right,152.9467703946013,
indoor_031.pts,68,left,172.14984032336798,
indoor_031.pts,68,right,146.09773920611815,
indoor_032.pts,68,left,101.0388654182143,
indoor_032.pts,68,right,86.74591741482064,
indoor_033.pts,68,left,176.8776797990948,
indoor_033.pts,68,right,156.88693143798747,
indoor_034.pts,68,left,140.9789915536078,
indoor_034.pts,68,right,129.4518273963329,
indoor_035.pts,68,left,57.92817667163362,
indoor_035.pts,68,right,55.519127531019066,
indoor_036.pts,68,left,169.70445871262322,
indoor_036.pts,68,right,146.10664425048887,
indoor_037.pts,68,left,120.61868320650903,
indoor_037.pts,68,right,101.26860142229566,
indoor_038.pts,68,left,46.13214218115412,
indoor_038.pts,68,right,40.288636385531305,
indoor_039.pts,68,left,67.12979721674353,
indoor_039.pts,68,right,61.22541787276305,
indoor_040.pts,68,left,47.046167270092816,
indoor_040.pts,68,right,45.07033508245145,
indoor_041.pts,68,left,199.85806822460853,
indoor_041.pts,68,right,175.3033377150239,
indoor_042.pts,68,left,96.21698721495187,
indoor_042.pts,68,right,81.70919123754997,
indoor_043.pts,68,left,110.32962671581011,
indoor_043.pts,68,right,95.49323988173774,
indoor_044.pts,68,left,144.60177702121942,
indoor_044.pts,68,right,126.66567364742329,
indoor_045.pts,68,left,55.65831117981295,
indoor_045.pts,68,right,48.597529005827255,
indoor_046.pts,68,left,125.04693842324885,
indoor_046.pts,68,right,116.34801430490526,
indoor_047.pts,68,left,62.327432902998474,
indoor_047.pts,68,right,61.41971981397973,
indoor_048.pts,68,left,70.69054137734561,
indoor_048.pts,68,right,55.90440875503466,
indoor_049.pts,68,left,46.4719448786637,
indoor_049.pts,68,right,41.100426230893355,
indoor_050.pts,68,left,277.7399829817351,
indoor_050.pts,68,right,238.86787991598112,
indoor_051.pts,68,left,300.02278047212053,
indoor_051.pts,68,right,240.57029904219272,
indoor_052.pts,68,left,166.72418311057606,
indoor_052.pts,68,right,153.54883646407816,
indoor_053.pts,68,left,217.1020897966105,
indoor_053.pts,68,right,149.02029966119082,
indoor_054.pts,68,left,156.8687602518247,
indoor_054.pts,68,right,119.6992000605638,
indoor_055.pts,68,left,103.73056557267863,
indoor_055.pts,68,right,98.69514208536303,
indoor_056.pts,68,left,59.985356420917,
indoor_056.pts,68,right,48.7751543063793,
indoor_057.pts,68,left,155.25658993036515,
indoor_057.pts,68,right,144.48235982455512,
indoor_058.pts,68,left,76.10330486782787,
indoor_058.pts,68,right,72.83278617529027,
indoor_059.pts,68,left,163.5212651839543,
indoor_059.pts,68,right,123.23040458978095,
indoor_060.pts,68,left,204.2099574948675,
indoor_060.pts,68,right,192.6482794906881,
indoor_061.pts,68,left,73.79985510750585,
indoor_061.pts,68,right,67.61234234672776,
indoor_062.pts,68,left,50.37822104948838,
indoor_062.pts,68,right,39.13914328960769,
indoor_063.pts,68,left,127.86411071969678,
indoor_063.pts,68,right,102.4531189661344,
indoor_064.pts,68,left,33.97386415728679,
indoor_064.pts,68,right,33.47813282411204,
indoor_065.pts,68,left,112.67860852060126,
indoor_065.pts,68,right,97.34734316068644,
indoor_066.pts,68,left,95.81891598275942,
indoor_066.pts,68,right,86.31093087623509,
indoor_067.pts,68,left,136.5912020700618,
indoor_067.pts,68,right,116.62550707011364,
indoor_068.pts,68,left,154.33486125269584,
indoor_068.pts,68,right,132.9482992923273,
indoor_069.pts,68,left,156.0971889578911,
indoor_069.pts,68,right,130.4695096267707,
indoor_070.pts,68,left,111.21114845106824,
indoor_070.pts,68,right,108.76910923118047,
indoor_071.pts,68,left,100.70363531394705,
indoor_071.pts,68,right,83.74478338264156,
indoor_072.pts,68,left,203.60713039692942,
indoor_072.pts,68,right,176.12861073950413,
indoor_073.pts,68,left,108.20055274170792,
indoor_073.pts,68,right,95.31236605382209,
indoor_074.pts,68,left,114.39095904931555,
indoor_074.pts,68,right,113.51615572659448,
indoor_075.pts,68,left,151.0672495327458,
indoor_075.pts,68,right,131.6291203733049,
indoor_076.pts,68,left,156.54785421335401,
indoor_076.pts,68,right,122.49726877340751,
indoor_077.pts,68,left,152.68902309178029,
indoor_077.pts,68,right,127.79596827321633,
indoor_078.pts,68,left,88.2028210667827,
indoor_078.pts,68,right,84.86842581379197,
indoor_079.pts,68,left,121.20566712147217,
indoor_079.pts,68,right,106.22667521769448,
indoor_080.pts,68,left,98.42830023832353,
indoor_080.pts,68,right,95.65682289018618,
indoor_081.pts,68,left,71.91924624535494,
indoor_081.pts,68,right,67.57619774784283,
indoor_082.pts,68,left,161.32621252303593,
indoor_082.pts,68,right,132.105805424625,
indoor_083.pts,68,left,129.5153820450598,
indoor_083.pts,68,right,121.9538601690774,
indoor_084.pts,68,left,161.55569117799598,
indoor_084.pts,68,right,164.06067990499395,
indoor_085.pts,68,left,51.54278770809955,
indoor_085.pts,68,right,50.319667661970044,
indoor_086.pts,68,left,71.26252277397371,
indoor_086.pts,68,right,72.01387097597546,
indoor_087.pts,68,left,51.4067412191998,
indoor_087.pts,68,right,49.28665392770022,
indoor_088.pts,68,left,42.9804842163536,
indoor_088.pts,68,right,37.75776857114587,
indoor_089.pts,68,left,44.46027915766814,
indoor_089.pts,68,right,36.74966806388267,
indoor_090.pts,68,left,139.29771415578867,
indoor_090.pts,68,right,131.06932594326645,
indoor_091.pts,68,left,72.44300030982214,
indoor_091.pts,68,right,72.22142916156457,
indoor_092.pts,68,left,184.1417031968859,
indoor_092.pts,68,right,177.79741927331239,
indoor_093.pts,68,left,190.99283719262593,
indoor_093.pts,68,right,157.3630738339597,
indoor_094.pts,68,left,173.67226172537056,
indoor_094.pts,68,right,157.2829128870967,
indoor_095.pts,68,left,272.41228595055253,
indoor_095.pts,68,right,244.25981493131,
indoor_096.pts,68,left,102.60743595387116,
indoor_096.pts,68,right,84.10241814283478,
indoor_097.pts,68,left,97.54032191939336,
indoor_097.pts,68,right,83.63905856864962,
indoor_098.pts,68,left,153.0529177015075,
indoor_098.pts,68,right,128.4790378548622,
indoor_099.pts,68,left,151.91231551000442,
indoor_099.pts,68,right,142.4373290852664,
indoor_100.pts,68,left,239.83915641402032,
indoor_100.pts,68,right,209.23008010229103,
indoor_101.pts,68,left,201.13643557165932,
indoor_101.pts,68,right,175.5009413475864,
indoor_102.pts,68,left,30.25801459898225,
indoor_102.pts,68,right,27.47701305990965,
indoor_103.pts,68,left,40.25421039814066,
indoor_103.pts,68,right,35.83958549991283,
indoor_104.pts,68,left,81.44036765514737,
indoor_104.pts,68,right,69.34112706596108,
indoor_105.pts,68,left,101.7303909734506,
indoor_105.pts,68,right,92.95183005460436,
indoor_106.pts,68,left,114.4630760162906,
indoor_106.pts,68,right,112.15322046448586,
indoor_107.pts,68,left,87.88922561699785,
indoor_107.pts,68,right,77.08790574709005,
indoor_108.pts,68,left,138.94394290434354,
indoor_108.pts,68,right,113.43809687874773,
indoor_109.pts,68,left,185.83298969848647,
indoor_109.pts,68,right,174.8095519025238,
indoor_110.pts,68,left,249.05996234920727,
indoor_110.pts,68,right,229.291696353017,
indoor_111.pts,68,left,47.1850108403082,
indoor_111.pts,68,right,41.679245950805985,
indoor_112.pts,68,left,69.51893051376545,
indoor_112.pts,68,right,54.054198897700985,
indoor_113.pts,68,left,52.725193835848316,
indoor_113.pts,68,right,44.38970669598453,
indoor_114.pts,68,left,211.02066462960966,
indoor_114.pts,68,right,187.6578399360714,
indoor_115.pts,68,left,155.12750799664772,
indoor_115.pts,68,right,151.92263225121837,
indoor_116.pts,68,left,299.14120021622773,
indoor_116.pts,68,right,268.3843168873906,
indoor_117.pts,68,left,297.42919488416794,
